,Year,retail_prices,wholesale_prices,mark_up
0,2008,"70,36911261","60,11994816","10,37567272"
1,2009,"69,50233702","58,88612961","10,68541427"
2,2010,"65,8219926","52,43453152","13,38746107"
3,2011,"65,45837967","53,18759445","12,27078522"
4,2012,"66,37323093","53,40831944","12,96491149"
5,2013,"63,57361533","51,00573141","12,56788391"
6,2014,"61,51525383","46,27054186","15,24471197"
7,2015,"60,50655816","41,6263253","18,88023285"
8,2016,"58,32506292","37,55932867","20,76573426"
9,2017,"54,84427884","38,62886595","16,21621289"
10,2018,"59,94039","45,3324","14,60799"
